station_id,station_reason,temperature_obs,time_utc,timestamp_pipeline,wind_obs
SN30247,fallback_data,-0.2,2026-05-11 01:50:00+00:00,2026-05-11 02:47:07.925646+00:00,
SN30247,fallback_data,0.0,2026-05-11 02:00:00+00:00,2026-05-11 02:47:07.925646+00:00,
SN30247,fallback_data,0.0,2026-05-11 02:10:00+00:00,2026-05-11 02:47:07.925647+00:00,
SN30247,fallback_data,0.0,2026-05-11 02:20:00+00:00,2026-05-11 02:47:07.925648+00:00,
SN30247,fallback_data,-0.5,2026-05-11 02:30:00+00:00,2026-05-11 02:47:07.925649+00:00,
SN30247,fallback_data,-0.6,2026-05-11 02:40:00+00:00,2026-05-11 06:37:00.756167+00:00,
SN30247,fallback_data,-0.6,2026-05-11 02:50:00+00:00,2026-05-11 06:37:00.756168+00:00,
SN30247,fallback_data,-0.7,2026-05-11 03:00:00+00:00,2026-05-11 06:37:00.756169+00:00,
SN30247,fallback_data,-0.8,2026-05-11 03:10:00+00:00,2026-05-11 06:37:00.756170+00:00,
SN30247,fallback_data,-0.7,2026-05-11 03:20:00+00:00,2026-05-11 06:37:00.756170+00:00,
SN30247,fallback_data,-0.7,2026-05-11 03:30:00+00:00,2026-05-11 06:37:00.756171+00:00,
SN30247,fallback_data,-0.8,2026-05-11 03:40:00+00:00,2026-05-11 06:37:00.756172+00:00,
SN30247,fallback_data,-0.7,2026-05-11 03:50:00+00:00,2026-05-11 06:37:00.756173+00:00,
SN30247,fallback_data,-0.5,2026-05-11 04:00:00+00:00,2026-05-11 06:37:00.756174+00:00,
SN30247,fallback_data,-0.2,2026-05-11 04:10:00+00:00,2026-05-11 06:37:00.756175+00:00,
SN30247,fallback_data,0.1,2026-05-11 04:20:00+00:00,2026-05-11 06:37:00.756175+00:00,
SN30247,fallback_data,0.4,2026-05-11 04:30:00+00:00,2026-05-11 06:37:00.756176+00:00,
SN30247,fallback_data,0.9,2026-05-11 04:40:00+00:00,2026-05-11 06:37:00.756177+00:00,
SN30247,fallback_data,1.5,2026-05-11 04:50:00+00:00,2026-05-11 06:37:00.756178+00:00,
SN30247,fallback_data,1.3,2026-05-11 05:00:00+00:00,2026-05-11 06:37:00.756179+00:00,
SN30247,fallback_data,1.8,2026-05-11 05:10:00+00:00,2026-05-11 06:37:00.756180+00:00,
SN30247,fallback_data,2.1,2026-05-11 05:20:00+00:00,2026-05-11 06:37:00.756181+00:00,
SN30247,fallback_data,2.7,2026-05-11 05:30:00+00:00,2026-05-11 06:37:00.756181+00:00,
SN30247,fallback_data,3.1,2026-05-11 05:40:00+00:00,2026-05-11 06:37:00.756182+00:00,
SN30247,fallback_data,3.0,2026-05-11 05:50:00+00:00,2026-05-11 06:37:00.756183+00:00,
SN30247,fallback_data,3.6,2026-05-11 06:00:00+00:00,2026-05-11 06:37:00.756184+00:00,
SN30247,fallback_data,4.0,2026-05-11 06:10:00+00:00,2026-05-11 06:37:00.756185+00:00,
SN30247,fallback_data,5.6,2026-05-11 06:20:00+00:00,2026-05-11 06:37:00.756186+00:00,
SN30247,fallback_data,6.5,2026-05-11 06:30:00+00:00,2026-05-11 10:35:52.279989+00:00,
SN30247,fallback_data,7.0,2026-05-11 06:40:00+00:00,2026-05-11 10:35:52.279990+00:00,
SN30247,fallback_data,7.7,2026-05-11 06:50:00+00:00,2026-05-11 10:35:52.279991+00:00,
SN30247,fallback_data,8.3,2026-05-11 07:00:00+00:00,2026-05-11 10:35:52.279992+00:00,
